Method,SROCC,PLCC,RMSE
Adaptive,0.9419947348405573,0.9531149924798673,0.16170512630052988
brisque,0.23597279295199466,0.21729553629266143,0.521174600834699
niqe,0.3498922294788968,0.29991450083695237,0.5093639649598104
piqe,0.12826064256874348,0.11286834679742978,0.5307364339887084
maniqa,0.9120445341886294,0.9276878382740688,0.19943123822198022
hyperiqa,0.936538139949197,0.9491537598046403,0.1679999859990583
