Method,SROCC,PLCC,RMSE,MAE,Prediction_Range
BRISQUE,-0.3128816200924173,-0.35096912284655446,0.9502678137883107,0.7731566179033155,"[-11.16, 106.59]"
NIQE,-0.4493017605983859,-0.47904565721260756,0.8908021376517431,0.7133826549533022,"[1.74, 12.79]"
PIQE,-0.10249960784453793,-0.16332624161726522,1.0011968284186035,0.8223385352769172,"[4.39, 88.64]"
MANIQA,0.8322556889635992,0.8391648737916906,0.5519394199516048,0.4343250774405688,"[0.03, 0.62]"
HYPERIQA,0.7495077870072718,0.7733635007986457,0.6433605665846187,0.5196317267840851,"[0.16, 0.77]"
